date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Sun Jun 4 12:20:01 PM CEST 2023, 78, 71.8, 83.4364, 15, 0, 39872949, Yes
Sun Jun 4 12:21:01 PM CEST 2023, 78, 51.1, 83.2696, 15, 0, 40728147, Yes
Sun Jun 4 12:22:01 PM CEST 2023, 77, 44.6, 83.4303, 15, 0, 41545025, Yes
Sun Jun 4 12:23:01 PM CEST 2023, 77, 36.4, 83.1883, 15, 0, 42358137, Yes
Sun Jun 4 12:24:01 PM CEST 2023, 77, 55.9, 82.9082, 15, 0, 43180315, Yes
Sun Jun 4 12:25:01 PM CEST 2023, 76, 24.7, 83.8247, 15, 0, 44042524, Yes
Sun Jun 4 12:26:01 PM CEST 2023, 77, 65.0, 83.4698, 15, 0, 44856631, Yes
Sun Jun 4 12:27:02 PM CEST 2023, 75, 23.5, 83.5744, 15, 0, 45769752, Yes
Sun Jun 4 12:28:01 PM CEST 2023, 77, 63.4, 83.4539, 15, 0, 46606339, Yes
Sun Jun 4 12:29:01 PM CEST 2023, 76, 24.7, 83.9824, 15, 0, 47398187, Yes
Sun Jun 4 12:30:02 PM CEST 2023, 79, 76.4, 83.4095, 15, 0, 48314686, Yes
Sun Jun 4 12:31:01 PM CEST 2023, 77, 30.2, 83.7175, 15, 0, 49151743, Yes
Sun Jun 4 12:32:01 PM CEST 2023, 79, 55.3, 82.9538, 15, 0, 49977275, Yes
Sun Jun 4 12:33:01 PM CEST 2023, 78, 25.6, 83.8061, 15, 0, 50858653, Yes
Sun Jun 4 12:34:01 PM CEST 2023, 77, 44.8, 83.6574, 15, 0, 51691451, Yes
Sun Jun 4 12:35:01 PM CEST 2023, 77, 46.6, 83.4205, 15, 0, 52541970, Yes
Sun Jun 4 12:36:01 PM CEST 2023, 77, 48.3, 83.4044, 15, 0, 53357559, Yes
Sun Jun 4 12:37:01 PM CEST 2023, 77, 25.0, 83.8894, 15, 0, 54214662, Yes
Sun Jun 4 12:38:01 PM CEST 2023, 78, 42.4, 83.6234, 15, 0, 55088024, Yes
Sun Jun 4 12:39:01 PM CEST 2023, 77, 50.6, 83.1593, 15, 0, 55834815, Yes
Sun Jun 4 12:40:02 PM CEST 2023, 76, 47.3, 82.6948, 15, 0, 56753985, Yes
Sun Jun 4 12:41:01 PM CEST 2023, 76, 27.3, 83.0156, 15, 0, 57562154, Yes
Sun Jun 4 12:42:01 PM CEST 2023, 76, 45.3, 83.1832, 15, 0, 58444223, Yes
Sun Jun 4 12:43:01 PM CEST 2023, 78, 28.1, 79.9175, 15, 0, 59306807, Yes
Sun Jun 4 12:44:01 PM CEST 2023, 77, 46.8, 81.9344, 15, 0, 60137244, Yes
Sun Jun 4 12:45:01 PM CEST 2023, 84, 64.5, 82.7039, 15, 0, 60572192, Yes
Sun Jun 4 12:46:01 PM CEST 2023, 84, 70.9, 81.732, 15, 0, 60861524, Yes
Sun Jun 4 12:47:01 PM CEST 2023, 84, 69.6, 80.2202, 15, 0, 61141400, Yes
Sun Jun 4 12:48:01 PM CEST 2023, 86, 68.6, 79.148, 15, 0, 61435306, Yes
Sun Jun 4 12:49:02 PM CEST 2023, 85, 59.0, 76.8839, 15, 0, 61706331, Yes
Sun Jun 4 12:50:01 PM CEST 2023, 84, 69.7, 75.0108, 15, 0, 61980925, Yes
Sun Jun 4 12:51:01 PM CEST 2023, 86, 69.6, 69.2636, 15, 0, 62339659, Yes
Sun Jun 4 12:52:02 PM CEST 2023, 84, 72.4, 67.5486, 15, 0, 63340935, Yes
Sun Jun 4 12:53:01 PM CEST 2023, 85, 71.0, 64.2265, 15, 0, 63799129, Yes
